year,country,industry,action,asset,data_type,data_stolen
2025,VN,481111,['hacking'],S - Web application,['Unknown'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2015,US,621511,['error'],M - Documents,['Medical'],Yes
2005,US,511210,['misuse'],S - File,['Secrets'],Yes
2020,US,447110,['physical'],T - Gas terminal,['Payment'],Yes
2015,US,541711,['physical'],U - Laptop,['Medical'],Potentially
2008,US,621111,['misuse'],Unknown,"['Personal', 'Medical']",Yes
2013,CA,522130,['misuse'],U - Desktop,['Personal'],Yes
2012,US,621111,['physical'],U - Desktop,['Medical'],Potentially
2018,US,611110,['social'],S - Unknown,"['Personal', 'Credentials']",Yes
2013,US,314999,"['hacking', 'malware']",S - Web application,['Payment'],Potentially
2018,AU,813319,"['malware', 'social']",S - Mail,"['Internal', 'Credentials']",Yes
2014,US,923120,['error'],Unknown,['Unknown'],Yes
2014,NZ,921190,['error'],U - Desktop,['Personal'],Yes
2016,US,485310,['error'],S - Mail,['Other'],Yes
2017,US,621111,['malware'],Unknown,['Medical'],Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2015,US,519130,['hacking'],S - Web application,['Payment'],Yes
2020,ID,454111,['unknown'],S - Database,['Personal'],Yes
2012,US,92,['error'],Unknown,['Medical'],Yes
2015,US,923140,['error'],M - Documents,['Unknown'],Yes
2015,US,624120,['error'],S - Web application,['Personal'],Yes
2013,US,923140,['error'],M - Documents,['Unknown'],Yes
2012,US,923140,['misuse'],S - Database,['Unknown'],Yes
2012,US,525110,['hacking'],S - Web application,"['Credentials', 'Bank']",Yes
2013,NZ,92,['hacking'],S - Web application,['Unknown'],Potentially
2011,GB,524114,['error'],U - Desktop,['Medical'],Yes
2012,US,541611,['physical'],U - Laptop,['Personal'],Potentially
2012,CA,51913,['hacking'],S - Database,['Credentials'],Yes
2013,IL,511210,['hacking'],S - Web application,['Personal'],Yes
2010,US,446110,['error'],M - Flash drive,['Medical'],Potentially
2013,KE,921,['hacking'],S - Web application,[],
2014,US,923140,['error'],M - Documents,['Unknown'],Yes
2015,US,622110,['malware'],S - Database,['Personal'],Potentially
2017,US,447110,['physical'],T - Gas terminal,[],
2010,US,923140,['error'],M - Documents,['Unknown'],Yes
2013,US,621210,['physical'],U - Desktop,['Medical'],Potentially
2011,US,622110,['misuse'],S - Database,['Medical'],Yes
2015,US,621111,['physical'],M - Documents,['Medical'],Yes
2012,US,334510,['physical'],U - Laptop,['Medical'],Potentially
2011,US,62111,"['misuse', 'social']",S - Database,"['Medical', 'Personal']",Yes
2012,US,622110,['physical'],U - Desktop,['Medical'],Potentially
